,구,거래건수,위도,경도
0,송파구,6466,37.538055,127.122215
1,송파구,6466,37.528779,127.116814
2,송파구,6466,37.496923,127.143302
3,송파구,6466,37.493534,127.146891
4,송파구,6466,37.496025,127.149894
5,송파구,6466,37.49688,127.148538
6,송파구,6466,37.511009,127.123923
7,송파구,6466,37.514596,127.114379
8,송파구,6466,37.515538,127.134424
9,송파구,6466,37.50401,127.134003
10,송파구,6466,37.50609,127.109571
11,송파구,6466,37.502323,127.116741
12,송파구,6466,37.50273,127.102497
13,송파구,6466,37.501901,127.091876
14,송파구,6466,37.495585,127.12183
15,송파구,6466,37.496537,127.105726
16,송파구,6466,37.498639,127.126488
17,송파구,6466,37.490024,127.124055
18,송파구,6466,37.48989,127.110917
19,송파구,6466,37.477368,127.131914
20,송파구,6466,37.481576,127.140424
21,송파구,6466,37.506167,127.084325
22,송파구,6466,37.511956,127.088281
23,송파구,6466,37.513354,127.094316
24,송파구,6466,37.520419,127.112285
25,송파구,6466,37.518133,127.100683
26,송파구,6466,37.508661,127.07709
27,송파구,6466,37.506967,127.083673
28,송파구,6466,37.517302,127.104967
29,송파구,6466,37.534673,127.117643
30,송파구,6466,37.506058,127.111216
31,송파구,6466,37.502699,127.102321
32,송파구,6466,37.502724,127.092352
33,송파구,6466,37.496486,127.126006
34,송파구,6466,37.486581,127.127495
35,송파구,6466,37.478077,127.133269
36,송파구,6466,37.512017,127.116902
37,송파구,6466,37.503984,127.135124
38,송파구,6466,37.494161,127.145196
39,송파구,6466,37.497117,127.152393
40,강서구,5965,37.554552,126.871764
41,강서구,5965,37.550968,126.849614
42,강서구,5965,37.550968,126.849614
43,강서구,5965,37.550968,126.849614
44,강서구,5965,37.550968,126.849614
45,강서구,5965,37.550968,126.849614
46,강서구,5965,37.550968,126.849614
47,강서구,5965,37.550968,126.849614
48,강서구,5965,37.544092,126.847626
49,강서구,5965,37.550968,126.849614
50,강서구,5965,37.550968,126.849614
51,강서구,5965,37.550968,126.849614
52,강서구,5965,37.550968,126.849614
53,강서구,5965,37.550968,126.849614
54,강서구,5965,37.550968,126.849614
55,강서구,5965,37.548198,126.841792
56,강서구,5965,37.554779,126.810453
57,강서구,5965,37.550968,126.849614
58,강서구,5965,37.550968,126.849614
59,강서구,5965,37.550968,126.849614
60,강서구,5965,37.551366,126.8713
61,강서구,5965,37.551325,126.858411
62,강서구,5965,37.538358,126.847336
63,강서구,5965,37.568238,126.845059
64,강서구,5965,37.566092,126.830395
65,강서구,5965,37.552616,126.83573
66,강서구,5965,37.546721,126.821871
67,강서구,5965,37.558805,126.813297
68,강서구,5965,37.569138,126.812192
69,강서구,5965,37.582069,126.801198
70,강서구,5965,37.560661,126.794953
71,강서구,5965,37.554615,126.775768
72,강서구,5965,37.541148,126.796575
73,은평구,5393,37.605314,126.934567
74,은평구,5393,37.602766,126.928839
75,은평구,5393,37.602766,126.928839
76,은평구,5393,37.602766,126.928839
77,은평구,5393,37.602766,126.928839
78,은평구,5393,37.611074,126.907302
79,은평구,5393,37.612256,126.923141
80,은평구,5393,37.602766,126.928839
81,은평구,5393,37.602766,126.928839
82,은평구,5393,37.602766,126.928839
83,은평구,5393,37.604582,126.914611
84,은평구,5393,37.602766,126.928839
85,은평구,5393,37.602766,126.928839
86,은평구,5393,37.584166,126.905952
87,은평구,5393,37.585574,126.894529
88,은평구,5393,37.639681,126.937804
89,은평구,5393,37.585121,126.89426
90,은평구,5393,37.605253,126.929107
91,은평구,5393,37.620465,126.927435
92,은평구,5393,37.621223,126.914993
93,은평구,5393,37.61139,126.910297
94,은평구,5393,37.612276,126.92285
95,은평구,5393,37.592677,126.920257
96,은평구,5393,37.60477,126.915663
97,은평구,5393,37.595711,126.909195
98,은평구,5393,37.584724,126.907223
99,은평구,5393,37.644355,126.936524
100,마포구,4400,37.554474,126.956308
101,마포구,4400,37.548092,126.954994
102,마포구,4400,37.539758,126.950007
103,마포구,4400,37.541502,126.940443
104,마포구,4400,37.549807,126.943177
105,마포구,4400,37.549096,126.947307
106,마포구,4400,37.548524,126.936813
107,마포구,4400,37.54778,126.932218
108,마포구,4400,37.553838,126.918765
109,마포구,4400,37.547027,126.909029
110,마포구,4400,37.566404,126.901763
111,마포구,4400,37.566404,126.901763
112,마포구,4400,37.563027,126.921519
113,마포구,4400,37.566404,126.901763
114,마포구,4400,37.566404,126.901763
115,마포구,4400,37.570748,126.87984
116,마포구,4400,37.555483,126.955998
117,마포구,4400,37.548828,126.959006
118,마포구,4400,37.544374,126.956854
119,마포구,4400,37.539966,126.95
120,마포구,4400,37.541967,126.940414
121,마포구,4400,37.54035,126.940474
122,마포구,4400,37.537003,126.945323
123,마포구,4400,37.551055,126.943731
124,마포구,4400,37.551546,126.947279
125,마포구,4400,37.554402,126.938556
126,마포구,4400,37.547351,126.937074
127,마포구,4400,37.54384,126.933903
128,마포구,4400,37.545679,126.932695
129,마포구,4400,37.550966,126.929835
130,마포구,4400,37.547431,126.922946
131,마포구,4400,37.54575,126.928674
132,마포구,4400,37.54421,126.930866
133,마포구,4400,37.54625,126.920245
134,마포구,4400,37.55391,126.918985
135,마포구,4400,37.55765,126.925663
136,마포구,4400,37.549046,126.911558
137,마포구,4400,37.55662,126.903976
138,마포구,4400,37.562962,126.921783
139,마포구,4400,37.563317,126.91087
140,마포구,4400,37.5704,126.907656
141,마포구,4400,37.577131,126.893488
142,광진구,4199,37.54325,127.073393
143,광진구,4199,37.553038,127.073657
144,광진구,4199,37.53821,127.082191
145,광진구,4199,37.53821,127.082191
146,광진구,4199,37.53821,127.082191
147,광진구,4199,37.53821,127.082191
148,광진구,4199,37.550578,127.081722
149,광진구,4199,37.547835,127.104695
150,광진구,4199,37.53821,127.082191
151,광진구,4199,37.53821,127.082191
152,광진구,4199,37.53821,127.082191
153,광진구,4199,37.53821,127.082191
154,광진구,4199,37.53821,127.082191
155,광진구,4199,37.53821,127.082191
156,광진구,4199,37.53821,127.082191
157,광진구,4199,37.561882,127.084745
158,광진구,4199,37.553729,127.082381
159,광진구,4199,37.544655,127.089493
160,광진구,4199,37.546992,127.103926
161,광진구,4199,37.534692,127.074327
162,광진구,4199,37.544427,127.070047
163,광진구,4199,37.553878,127.073516
164,강동구,4036,37.567438,127.173364
165,강동구,4036,37.550583,127.168797
